state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
MEGHALAYA,EAST KHASI HILLS,8220.0,3998.0,10280.0,6014.0,38.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,8198.0,0,8198.0,6688.0,38.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,TONK,8187.0,6198.0,15365.0,6672.0,38.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTARAKAND,NAINITAL,8183.0,6119.0,10811.0,6154.0,38.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MIZORAM,LAWNGTLAI,8173.0,7814.0,9131.0,6145.0,38.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,LOWER SUBANSIRI,8154.0,8130.0,8853.0,6104.0,37.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
GUJARAT,RAJKOT,8147.0,5892.0,9103.0,6617.0,37.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,8146.0,5715.0,10944.0,6957.0,37.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,KOZHIKODE,8146.0,6996.0,8556.0,5596.0,37.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
TAMIL NADU,THENI,8131.0,8166.0,8080.0,6279.0,37.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HIMACHAL PRADESH,UNA,8119.0,7813.0,10196.0,6786.0,37.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,BELLARY,8116.0,4873.0,13734.0,4668.0,37.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTARAKAND,HARIDWAR,8073.0,5783.0,10472.0,5896.0,37.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,CHIKMAGALUR,8067.0,8272.0,6365.0,5389.0,37.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,JHARSUGUDA,8050.0,4590.0,9772.0,4582.0,37.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JAMMU AND KASHMIR,DODA,8030.0,8030.0,0,5114.0,37.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,SAMBALPUR,8025.0,4970.0,10519.0,4927.0,37.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ANDHRA PRADESH,KRISHNA,8009.0,6612.0,9431.0,6575.0,37.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,JODHPUR,8002.0,7097.0,8852.0,5435.0,36.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
NAGALAND,KOHIMA,7997.0,5678.0,9700.0,6514.0,36.9,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
RAJASTHAN,NAGAUR,7963.0,8225.0,6926.0,5768.0,36.7,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
JAMMU AND KASHMIR,ANANTNAG,7943.0,7322.0,11515.0,6643.0,36.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
DELHI,NORTH,7910.0,7753.0,7915.0,6304.0,36.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,KOLHAPUR,7893.0,5762.0,11653.0,5041.0,36.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,CHAMARAJANAGAR,7885.0,6130.0,10826.0,6631.0,36.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HIMACHAL PRADESH,KINNAUR,7883.0,7883.0,0,6096.0,36.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
LAKSHADWEEP,LAKSHADWEEP,7871.0,8129.0,7773.0,5688.0,36.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,EAST KAMENG,7862.0,7348.0,9600.0,6270.0,36.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KARNATAKA,BANGALORE RURAL,7830.0,6550.0,9854.0,6127.0,35.8,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
HIMACHAL PRADESH,BILASPUR,7798.0,7798.0,0,6385.0,35.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ARUNACHAL PRADESH,LOHIT,7768.0,6877.0,11724.0,6188.0,35.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MAHARASHTRA,THANE,7754.0,5476.0,8216.0,6060.0,35.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
PUNJAB,JALANDHAR,7748.0,6544.0,8258.0,5979.0,35.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
NAGALAND,DIMAPUR,7701.0,6993.0,8450.0,6146.0,35.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
KERALA,PALAKKAD,7640.0,6755.0,8850.0,5901.0,34.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
